Sequence ID,gb,knn,log,nb,rf,svm,tree
NP_414593.1 16S rRNA m(6)2A1518m(6)2A1519 dimethyltransferase,1,0,1,1,1,1,0
NP_414594.1 4-hydroxythreonine-4-phosphate dehydrogenase,0,0,0,1,0,0,0
NP_414595.1 peptidyl-prolyl cis-trans isomerase SurA,1,1,1,0,1,1,1
NP_414596.1 lipopolysaccharide assembly protein LptD,1,1,1,1,1,1,1
NP_414597.1 co-chaperone protein DjlA,1,0,1,0,1,0,0
NP_414600.1 23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase,0,0,0,1,0,0,0
NP_414601.1 RNA polymerase-binding ATPase and RNAP recycling factor,1,0,1,1,0,0,0
NP_414602.1 DNA polymerase II,0,0,0,1,0,0,0
NP_414603.1 L-ribulose-5-phosphate 4-epimerase AraD,1,0,1,0,0,1,0
NP_414604.1 L-arabinose isomerase,0,0,0,1,0,0,0
NP_414605.1 ribulokinase,0,0,0,1,0,0,0
NP_414606.1 DNA-binding transcriptional dual regulator AraC,1,0,0,0,0,1,0
NP_414607.1 DedA family protein YabI,1,1,1,1,1,1,1
NP_414608.1 thiamine ABC transporter ATP binding subunit,1,1,1,1,1,1,1
NP_414609.1 thiamine ABC transporter membrane subunit,1,1,1,1,1,1,1
NP_414610.1 thiamine ABC transporter periplasmic binding protein,1,1,1,1,1,1,1
NP_414611.1 DNA-binding transcriptional dual regulator SgrR,1,0,0,1,1,1,0
NP_414613.1 3-isopropylmalate dehydratase subunit LeuD,1,1,1,0,0,1,0
NP_414614.1 3-isopropylmalate dehydratase subunit LeuC,0,0,0,0,0,0,0
NP_414615.4 3-isopropylmalate dehydrogenase,0,0,0,0,0,0,0
NP_414616.1 2-isopropylmalate synthase,1,0,1,0,0,0,0
NP_414617.1 leu operon leader peptide,1,0,0,0,0,0,1
NP_414618.4 DNA-binding transcriptional dual regulator LeuO,0,0,0,0,0,0,0
NP_414620.1 acetolactate synthase/acetohydroxybutanoate synthase regulatory subunit,1,0,1,0,0,1,1
NP_414622.1 DNA-binding transcriptional dual regulator Cra,1,1,1,0,0,0,0
NP_414623.1 DNA-binding transcriptional repressor MraZ,1,1,1,0,0,1,0
NP_414624.1 16S rRNA m(4)C1402 methyltransferase,1,0,1,0,0,0,0
NP_414625.1 cell division protein FtsL,1,1,1,0,1,1,0
NP_414626.1 peptidoglycan DD-transpeptidase FtsI,1,0,1,1,1,1,1
NP_414627.1 UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--26-diaminopimelate ligase,1,0,1,1,1,0,0
NP_414628.1 D-alanyl-D-alanine-adding enzyme,1,0,1,1,1,1,1
NP_414629.1 phospho-N-acetylmuramoyl-pentapeptide-transferase,1,1,1,1,1,1,1
NP_414630.1 UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,0,0,1,1,0,0,0
NP_414631.1 putative lipid II flippase FtsW,1,1,1,1,1,1,1
NP_414632.1 N-acetylglucosaminyl transferase,1,0,1,1,1,1,0
NP_414633.1 UDP-N-acetylmuramate--L-alanine ligase,1,0,1,0,0,0,0
NP_414634.1 D-alanine--D-alanine ligase B,1,0,1,1,1,1,1
NP_414635.1 cell division protein FtsQ,1,0,1,0,1,0,0
NP_414636.1 cell division protein FtsA,1,0,1,0,0,0,0
NP_414637.1 cell division protein FtsZ,1,0,1,0,1,1,0
NP_414638.1 UDP-3-O-acyl-N-acetylglucosamine deacetylase,1,1,1,0,0,1,0
NP_414639.2 SecA translation regulator,1,0,1,1,1,1,1
NP_414640.1 protein translocation ATPase,1,1,0,1,1,0,1
NP_414641.1 8-oxo-dGTP diphosphatase,0,0,0,0,0,0,0
NP_414643.1 DNA gyrase inhibitor YacG,0,0,0,0,0,0,0
NP_414644.1 cell division factor ZapD,0,0,0,0,0,0,0
NP_414645.1 dephospho-CoA kinase,1,1,1,0,0,1,0
NP_414646.1 GMP reductase,0,0,0,0,0,0,0
NP_414648.1 inner membrane protein HofC,1,1,1,1,1,1,1
NP_414649.1 T2SSE family protein,1,0,0,0,1,0,0
NP_414650.1 prepilin peptidase-dependent protein,1,1,1,1,1,1,1
NP_414651.1 quinolinate phosphoribosyltransferase (decarboxylating),0,0,0,0,0,0,0
NP_414652.1 1-anhydro-N-acetylmuramoyl-L-alanine amidase,0,0,0,0,0,0,0
NP_414653.1 protein AmpE,1,0,1,1,1,1,1
NP_414654.1 aromatic amino acid:H(+) symporter AroP,1,1,1,1,1,1,1
NP_414655.1 DNA-binding transcriptional dual regulator PdhR,1,0,0,0,0,0,0
NP_414656.1 pyruvate dehydrogenase E1 component,1,0,1,1,1,0,1
NP_414657.1 pyruvate dehydrogenase E2 subunit,1,0,0,0,1,0,0
NP_414658.1 lipoamide dehydrogenase,0,0,0,0,0,0,0
NP_414659.1 DUF3300 domain-containing protein YacH,1,0,1,1,1,1,1
NP_414660.1 hypothetical protein b0118,1,1,1,1,1,0,0
NP_414661.2 UPF0231 family protein YacL,1,1,1,0,0,1,0
NP_414662.1 S-adenosylmethionine decarboxylase proenzyme,1,0,0,0,0,0,0
NP_414663.1 spermidine synthase,0,0,0,1,0,0,0
NP_414664.4 putative lipoprotein YacC,1,1,0,1,1,0,1
NP_414665.1 cuprous oxidase/multicopper oxidase with role in copper homeostasis,1,0,0,1,1,0,1
NP_414666.1 quinoprotein glucose dehydrogenase,1,1,1,1,1,1,1
NP_414667.4 hypoxanthine phosphoribosyltransferase,0,0,0,0,0,0,0
NP_414668.1 carbonic anhydrase 2,0,0,0,0,0,0,0
NP_414669.1 putative ABC transporter ATP-binding protein YadG,1,0,0,0,1,0,1
NP_414670.1 putative ABC transporter membrane subunit YadH,1,1,1,1,1,1,1
NP_414671.1 putative PTS enzyme IIA component YadI,0,0,0,0,0,0,0
NP_414672.1 putative polysaccharide deacetylase lipoprotein,1,0,0,1,1,0,1
NP_414673.1 aspartate 1-decarboxylase proenzyme,0,0,0,0,0,0,0
NP_414674.1 recombination-promoting nuclease RpnC,0,0,0,0,0,0,0
NP_414675.1 pantothenate synthetase,0,0,0,0,0,0,0
NP_414676.1 3-methyl-2-oxobutanoate hydroxymethyltransferase,0,0,0,0,0,0,0
NP_414677.1 fimbrial tip-adhesin YadC,1,1,1,1,1,1,1
NP_414678.1 putative fimbrial protein YadK,1,1,1,1,1,1,1
NP_414679.1 putative fimbrial protein YadL,1,0,1,1,1,1,1
NP_414680.4 putative fimbrial protein YadM,1,1,1,1,1,1,1
NP_414681.1 putative fimbrial usher protein HtrE,1,1,1,1,1,1,1
NP_414682.1 putative fimbrial chaperone YadV,1,1,1,1,1,1,1
NP_414683.1 putative fimbrial protein YadN,1,1,1,1,1,1,1
NP_414684.1 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,0,0,0,0,0,0,0
NP_414685.4 poly(A) polymerase I,0,0,0,0,0,0,0
NP_414686.3 glutamyl-Q tRNA(Asp) synthetase,0,0,0,0,0,0,0
NP_414687.1 RNA polymerase-binding transcription factor DksA,0,0,0,0,0,0,0
NP_414688.1 putative DNA-binding transcriptional regulator of maltose metabolism,1,1,1,0,0,1,0
NP_414689.4 RNA 2''-cyclic phosphodiesterase,0,0,0,0,0,0,0
NP_414690.4 putative ATP-dependent RNA helicase HrpB,1,0,1,1,1,0,1
NP_414691.1 peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB,1,0,1,1,1,1,1
NP_414692.1 ferrichrome outer membrane transporter/phage receptor,1,1,1,1,1,1,1
NP_414693.1 iron(III) hydroxamate ABC transporter ATP binding subunit,1,0,0,1,1,0,1
NP_414694.1 iron(III) hydroxamate ABC transporter periplasmic binding protein,1,1,1,1,1,1,1
NP_414695.1 iron(III) hydroxamate ABC transporter membrane subunit,1,1,1,1,1,1,1
NP_414696.1 glutamate-1-semialdehyde aminotransferase,0,0,1,1,0,0,0
NP_414697.1 chloride:H(+) antiporter ClcA,1,1,1,1,1,1,1
NP_414698.1 iron-sulfur cluster insertion protein ErpA,0,0,0,0,0,0,0
NP_414699.1 conserved inner membrane protein YadS,1,1,1,1,1,1,1
NP_414700.1 vitamin B12 ABC transporter periplasmic binding protein,1,1,1,1,1,1,1
NP_414701.1 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,0,0,0,1,0,0,0
NP_414702.1 dGTP triphosphohydrolase,0,0,0,0,0,0,0
NP_414703.1 periplasmic serine endoprotease DegP,1,0,1,1,1,1,1
NP_414704.4 DNA-binding transcriptional activator CdaR,0,1,0,0,0,0,0
NP_414705.1 DUF3461 domain-containing protein YaeH,0,0,0,0,0,0,0
NP_414706.2 phosphodiesterase YaeI,1,0,0,1,0,0,0
NP_414708.1 tetrahydrodipicolinate succinylase,0,0,0,0,0,0,0
NP_414709.1 PII uridylyltransferase/uridylyl removing enzyme,0,0,0,1,0,0,0
NP_414710.1 methionine aminopeptidase,0,0,0,0,0,0,0
NP_414711.1 30S ribosomal subunit protein S2,0,0,0,0,0,0,0
NP_414712.1 protein chain elongation factor EF-Ts,1,0,1,0,0,0,0
NP_414713.1 UMP kinase,1,0,1,0,0,1,0
NP_414714.1 ribosome-recycling factor,1,0,1,0,0,0,0
NP_414715.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase,0,0,0,1,0,0,0
NP_414716.1 undecaprenyl diphosphate synthase,0,0,0,0,0,0,0
NP_414717.2 CDP-diglyceride synthetase,1,1,1,1,1,1,1
NP_414718.1 intramembrane zinc metalloprotease,1,0,1,1,1,0,1
NP_414719.1 outer membrane protein assembly factor BamA,1,1,1,1,1,1,1
NP_414720.1 periplasmic chaperone Skp,1,0,1,0,1,1,1
NP_414721.1 UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,1,0,1,1,1,1,1
NP_414722.1 3-hydroxy-acyl-[acyl-carrier-protein] dehydratase,0,0,0,0,0,0,0
NP_414723.1 UDP-N-acetylglucosamine acyltransferase,0,0,0,0,0,0,0
NP_414724.1 lipid A disaccharide synthase,0,0,0,0,0,0,0
NP_414725.1 RNase HII,0,0,0,0,0,0,0
NP_414726.1 DNA polymerase III subunit alpha,0,0,1,1,0,0,0
NP_414727.1 acetyl-CoA carboxyltransferase subunit alpha,1,0,1,0,0,0,0
NP_414728.1 lysine decarboxylase 2,0,0,0,1,1,0,0
NP_414729.4 VOC domain-containing protein YaeR,0,0,0,0,0,0,0
NP_414730.1 tRNA(Ile)-lysidine synthetase,0,0,0,1,0,0,0
NP_414731.2 modulator of Rho-dependent transcription termination,0,1,0,0,0,0,0
NP_414732.1 uncharacterized protein YaeQ,0,0,0,0,0,0,0
NP_414733.1 peptidyl-tRNA hydrolase ribosome rescue factor,0,0,0,0,0,0,0
NP_414734.1 lipoprotein NlpE,1,1,1,1,1,1,1
NP_414735.4 peptidase C92 family protein,1,1,0,1,1,0,1
NP_414736.1 proline--tRNA ligase,1,0,1,0,0,0,0
NP_414737.1 tRNA m(6)t(6)A37 methyltransferase,0,0,0,0,0,0,0
NP_414738.1 outer membrane lipoprotein RcsF,1,1,0,0,1,0,1
NP_414739.1 L-methionine/D-methionine ABC transporter membrane anchored binding protein,1,1,1,0,1,1,1
NP_414740.1 L-methionine/D-methionine ABC transporter membrane subunit,1,1,1,1,1,1,1
NP_414741.1 L-methionine/D-methionine ABC transporter ATP binding subunit,1,1,0,0,1,0,1
NP_414742.1 D-glycero-beta-D-manno-heptose-1-bisphosphate 7-phosphatase,0,0,0,0,0,0,0
NP_414743.1 methylglyoxal reductase DkgB,0,0,0,0,0,0,0
NP_414744.1 putative LysR family transcriptional regulator YafC,1,0,0,0,0,0,1
NP_414745.1 endonuclease/exonuclease/phosphatase domain-containing protein YafD,1,1,1,1,1,1,1
NP_414746.1 putative S-adenosylmethionine-dependent methyltransferase,0,0,0,0,0,0,0
NP_414747.1 membrane-bound lytic murein transglycosylase D,1,0,1,1,1,1,1
NP_414748.1 hydroxyacylglutathione hydrolase GloB,1,0,1,0,0,1,0
NP_414749.2 putative S-adenosyl-L-methionine-dependent methyltransferase,0,0,0,0,0,0,0
NP_414750.1 ribonuclease HI,0,0,0,0,0,0,0
NP_414751.1 DNA polymerase III subunit epsilon,0,0,0,0,0,0,0
NP_414752.1 lipoprotein YafT,1,0,1,0,1,0,1
NP_414754.1 2-oxoglutaramate amidase,0,0,0,0,0,0,0
NP_414755.1 periplasmic chaperone inhibitor of vertebrate C-type lysozyme,1,1,1,1,1,1,1
NP_414756.2 acyl-CoA dehydrogenase,1,1,1,1,1,0,1
NP_414757.1 D-sedoheptulose 7-phosphate isomerase,0,0,0,0,0,0,0
NP_414758.1 putative amidotransferase,0,1,0,1,0,0,0
NP_414759.1 LD-transpeptidase domain-containing protein YafK,1,1,1,1,1,1,1
NP_414760.1 ribosome-dependent mRNA interferase toxin YafQ,0,0,0,0,0,0,0
NP_414761.1 antitoxin/DNA-binding transcriptional repressor DinJ,0,0,0,0,0,0,0
NP_414762.1 NlpC/P60 family protein YafL,1,0,0,0,0,0,0
NP_414763.1 REP-associated tyrosine transposase,0,0,0,0,0,0,0
NP_414766.1 DNA polymerase IV,0,0,0,0,0,0,0
NP_414767.1 antitoxin YafN,0,0,0,0,0,0,0
NP_414768.1 ribosome-dependent mRNA interferase toxin YafO,0,0,0,0,0,0,0
NP_414769.1 putative acyltransferase with acyl-CoA N-acyltransferase domain,0,0,0,0,0,0,0
NP_414772.1 peptidase D,0,0,0,0,0,0,0
NP_414773.1 xanthine-guanine phsophoribosyltransferase,1,0,1,0,0,1,0
NP_414774.1 fermentation-respiration switch protein,0,0,0,1,0,0,0
NP_414776.1 outer membrane porin PhoE,1,1,1,1,1,1,1
NP_414777.1 glutamate 5-kinase,0,0,0,0,0,0,0
NP_414778.1 glutamate-5-semialdehyde dehydrogenase,0,0,0,0,0,0,0
NP_414779.1 CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system,0,0,0,0,0,0,0
NP_414780.1 antitoxin of the YkfI-YafW toxin-antitoxin pair,0,1,0,0,0,0,0
NP_414781.1 CP4-6 prophage; RadC-like JAB domain-containing protein YkfG,0,0,0,0,0,0,0
NP_414782.1 CP4-6 prophage; protein YafX,0,0,0,0,0,0,0
NP_414783.1 CP4-6 prophage; protein YkfF,1,0,0,0,0,0,0
NP_414784.1 CP4-6 prophage; protein YkfB,1,1,0,1,1,0,1
NP_414785.4 CP4-6 prophage; inner membrane lipoprotein YafY,1,0,0,0,0,0,0
NP_414786.4 CP4-6 prophage; conserved protein YafZ,0,0,0,0,0,0,0
NP_414787.4 CP4-6 prophage; putative GTP-binding protein YkfA,0,0,0,0,0,0,0
NP_414788.1 putative transcriptional regulator PerR,0,0,0,0,0,0,0
NP_414790.1 IS30 transposase,0,0,0,0,0,0,0
NP_414793.1 CP4-6 prophage; IS5 transposase and trans-activator,0,0,0,0,0,0,0
NP_414794.4 S-methyl-L-methionine transporter,1,1,1,1,1,1,1
NP_414795.1 homocysteine S-methyltransferase,0,0,0,0,0,0,0
NP_414796.2 CP4-6 prophage; ABC transporter ATP-binding protein AfuC,1,0,0,0,1,0,0
NP_414798.1 IS1 protein InsB,0,0,0,0,0,0,0
NP_414799.1 IS1 protein InsA,0,0,0,0,0,0,0
NP_414801.1 CP4-6 prophage; integrase core domain-containing protein YagA,0,0,0,0,0,0,0
NP_414802.2 CP4-6 prophage; putative 2-keto-3-deoxygluconate aldolase,0,0,0,1,0,0,0
NP_414803.1 CP4-6 prophage; D-xylonate dehydratase,0,0,0,1,1,0,0
NP_414804.1 putative D-xylonate transporter YagG,1,1,1,1,1,1,1
NP_414805.1 CP4-6 prophage; putative xylosidase/arabinosidase,0,0,0,1,1,0,0
NP_414806.1 CP4-6 prophage; DNA-binding transcriptional repressor XynR,0,0,0,0,0,0,0
NP_414807.1 CP4-6 prophage; ornithine carbamoyltransferase ArgF,0,0,0,0,0,0,0
NP_414808.1 IS1 protein InsB,0,0,0,0,0,0,0
NP_414809.1 IS1 protein InsA,0,0,0,0,0,0,0
NP_414811.1 CP4-6 prophage; uncharacterized protein YagK,0,0,0,0,0,0,0
NP_414812.1 CP4-6 prophage; resolvase-like catalytic domain-containing protein YagL,1,0,0,0,0,0,0
NP_414813.1 CP4-6 prophage; protein YagM,0,0,0,0,0,0,0
NP_414814.1 CP4-6 prophage; protein YagN,0,1,0,0,1,0,0
NP_414815.1 CP4-6 prophage; putative phage integrase,0,0,0,0,0,0,0
NP_414817.1 molybdenum cofactor insertion chaperone for PaoABC,0,0,0,0,0,0,0
NP_414818.1 aldehyde dehydrogenase: molybdenum cofactor-binding subunit,1,0,1,1,1,0,0
NP_414819.1 aldehyde dehydrogenase FAD-binding subunit,0,0,0,0,0,0,0
NP_414820.1 aldehyde dehydrogenase Fe-S subunit,1,0,1,0,0,0,0
NP_414821.1 inner membrane protein that contributes to acid resistance,1,1,1,1,1,1,1
NP_414822.1 putative zinc- or iron-chelating domain-containing protein YkgJ,1,1,0,0,1,0,0
NP_414823.2 putative fimbrial chaperone EcpE,1,1,1,0,1,1,1
NP_414824.1 fimbrial adhesin EcpD,1,0,1,1,0,1,0
NP_414825.1 putative fimbrial usher protein EcpC,1,1,1,1,1,1,1
NP_414826.1 putative fimbrial chaperone EcpB,1,0,0,0,0,0,0
NP_414827.1 common pilus major subunit,1,1,1,1,1,1,0
NP_414828.1 DNA-binding transcriptional dual regulator MatA,0,0,0,0,0,0,0
NP_414829.1 uncharacterized protein YkgL,1,0,0,0,0,0,0
NP_414830.1 putative ribosomal protein,1,0,1,0,0,1,0
NP_414832.2 IS3 element protein InsE,0,0,0,0,0,0,0
NP_414833.1 IS3 element protein InsF,0,0,0,0,0,0,0
NP_414835.2 reactive chlorine species resistance protein C,1,1,1,1,1,1,1
NP_414837.2 DUF1471 domain-containing protein RclB,1,0,0,1,1,0,1
NP_414838.2 putative pyridine nucleotide-disulfide oxidoreductase RclA,0,0,0,1,0,0,0
NP_414839.1 DNA-binding transcriptional activator RclR,0,0,0,1,1,0,0
NP_414840.1 putative lactate utilization oxidoreductase YkgE,0,0,0,0,0,0,0
NP_414841.1 putative amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain,0,0,0,0,0,0,0
NP_414842.4 DUF162 domain-containing lactate utilization protein YkgG,0,0,0,0,0,0,0
NP_414844.1 uncharacterized protein YkgH,1,1,1,1,1,0,1
NP_414845.1 choline dehydrogenase,0,0,0,1,0,0,0
NP_414846.1 betaine aldehyde dehydrogenase,1,0,1,1,1,1,0
NP_414847.3 DNA-binding transcriptional repressor BetI,0,0,0,0,0,0,0
NP_414848.1 choline:H(+) symporter,1,1,1,1,1,1,1
NP_414849.1 DNA-binding transcriptional activator/c-di-GMP phosphodiesterase PdeL,1,0,0,1,1,0,0
NP_414850.1 putative LysR-type DNA-binding transcriptional regulator YahB,1,1,1,1,1,1,1
NP_414851.1 uncharacterized protein YahC,1,0,1,1,1,1,1
NP_414852.1 ankyrin repeat-containing protein YahD,1,0,0,0,0,0,0
NP_414853.1 DUF2877 domain-containing protein YahE,1,0,0,0,0,0,0
NP_414854.1 putative acyl-CoA synthetase YahF,1,0,0,0,0,0,0
NP_414855.1 DUF1116 domain-containing protein YahG,0,0,0,1,1,0,0
NP_414857.1 carbamate kinase-like protein YahI,0,0,0,0,0,0,0
NP_414858.1 putative deaminase with metallo-dependent hydrolase domain,1,0,0,1,0,0,0
NP_414859.1 aldehyde reductase NADPH-dependent,0,0,0,0,0,0,0
NP_414860.1 uncharacterized protein YahL,0,0,0,0,0,0,0
NP_414861.2 uncharacterized protein YahM,1,0,0,0,1,0,1
NP_414862.1 putative amino acid exporter,1,1,1,1,1,1,1
NP_414863.1 DUF1471 domain-containing protein YahO,1,0,0,0,1,0,1
NP_414864.1 DNA-binding transcriptional dual regulator PrpR,0,0,0,1,0,0,0
NP_414865.1 2-methylisocitrate lyase,0,0,0,0,0,0,0
NP_414867.1 2-methylcitrate synthase,0,0,0,0,0,0,0
NP_414868.1 2-methylcitrate dehydratase,1,0,1,1,1,1,0
NP_414869.1 propionyl-CoA synthetase,1,1,0,1,1,0,0
NP_414870.1 cytosine transporter,1,1,1,1,1,1,1
NP_414871.1 cytosine/isoguanine deaminase,0,0,0,0,0,0,0
NP_414872.3 DNA-binding transcriptional dual regulator CynR,0,0,0,0,0,0,0
NP_414873.1 carbonic anhydrase 1,1,1,0,0,0,1,0
NP_414874.1 cyanase,0,0,0,0,0,0,0
NP_414875.1 cyanate transporter,1,1,1,1,1,1,1
NP_414876.1 galactoside O-acetyltransferase,0,0,0,0,0,0,0
NP_414877.1 lactose permease,1,1,1,1,1,1,1
NP_414878.1 beta-galactosidase,1,1,0,1,1,0,0
NP_414879.3 DNA-binding transcriptional repressor LacI,1,0,1,1,1,1,1
NP_414880.2 DNA-binding transcriptional activator MhpR,0,0,0,0,0,0,0
NP_414881.1 putative 3-(3-hydroxyphenyl)propanoate/3-hydroxycinnamate hydroxylase,0,0,0,1,0,0,0
NP_414882.1 3-carboxyethylcatechol 2-dioxygenase,1,0,1,1,0,1,0
NP_414883.5 2-hydroxy-6-ketonona-2-dienedioate hydrolase,0,0,0,0,0,0,0
NP_414884.2 2-hydroxypentadienoate hydratase,0,0,0,0,0,0,0
NP_414885.1 acetaldehyde dehydrogenase (acylating),0,0,0,0,0,0,0
NP_414886.1 4-hydroxy-2-oxovalerate aldolase,0,0,0,0,0,0,0
NP_414887.2 3-hydroxyphenylpropionate/3-hydroxycinnamate:H(+) symporter,1,1,1,1,1,1,1
NP_414888.4 DUF2058 domain-containing protein YaiL,0,0,0,0,0,0,0
NP_414889.1 S-formylglutathione hydrolase FrmB,1,0,0,0,0,0,0
NP_414890.1 S-(hydroxymethyl)glutathione dehydrogenase,0,0,0,0,0,0,0
NP_414891.4 DNA-binding transcriptional repressor FrmR,0,1,1,0,0,0,0
NP_414892.1 outer membrane protein YaiO,1,1,1,1,1,1,1
NP_414894.2 IS2 element protein InsA,0,0,0,0,0,0,0
NP_414895.1 IS2 element protein,0,0,0,0,0,0,0
NP_414897.1 putative glucosyltransferase,1,1,1,1,1,1,1
NP_414898.4 putative deacetylase YaiS,0,0,0,0,0,0,0
NP_414899.2 taurine ABC transporter periplasmic binding protein,1,1,1,1,1,1,1
NP_414900.1 taurine ABC transporter ATP binding subunit,1,1,0,0,1,0,1
NP_414901.1 taurine ABC transporter membrane subunit,1,1,1,1,1,1,1
NP_414902.1 taurine dioxygenase,0,0,0,0,0,0,0
NP_414903.4 porphobilinogen synthase,0,0,0,0,0,0,0
NP_414906.1 IS3 element protein InsF,0,0,0,0,0,0,0
NP_414907.2 IS3 element protein InsE,0,0,0,0,0,0,0
NP_414909.2 putative DNA-binding transcriptional regulator IprA,0,0,0,0,0,0,0
NP_414910.1 peptidoglycan DD-carboxypeptidase/peptidoglycan DD-endopeptidase,1,1,1,1,1,1,1
NP_414911.1 peptide antibiotic/peptide nucleic acid transporter,1,1,1,1,1,1,1
NP_414912.1 surface-exposed outer membrane lipoprotein,1,0,1,1,0,1,0
NP_414913.1 inner membrane protein,1,1,1,1,1,1,1
NP_414914.2 DUF2754 domain-containing protein YaiZ,1,1,1,1,1,0,1
NP_414915.1 D-alanine--D-alanine ligase A,0,0,0,0,0,0,0
NP_414916.1 anti-adaptor protein for sigma(S) stabilization,0,0,0,0,0,0,0
NP_414917.2 alkaline phosphatase,1,0,1,1,1,1,1
NP_414918.4 PsiF family protein,1,1,1,0,1,1,1
NP_414919.1 diguanylate cyclase DgcC,1,1,1,1,1,0,1
NP_414920.1 pyrroline-5-carboxylate reductase,1,0,0,1,0,0,0
NP_414921.2 DUF188 domain-containing protein YaiI,0,0,0,0,0,0,0
NP_414922.1 shikimate kinase 2,0,0,0,0,0,0,0
NP_414923.1 protein YaiA,0,0,1,0,0,0,0
NP_414924.1 protein AroM,1,1,0,1,1,0,1
NP_414925.1 nucleoside phosphorylase PpnP,1,0,0,1,0,0,0
NP_414927.1 nucleoid-associated protein RdgC,0,0,0,0,0,0,0
NP_414928.2 manno(fructo)kinase,0,0,0,0,0,0,0
NP_414930.3 putative transport protein AraJ,1,1,1,1,1,1,1
