Sequence ID,gb,knn,log,nb,rf,svm,tree
NP_001335771.1 uncharacterized protein YER188W,1,1,1,1,1,1,1
NP_001335772.1 uncharacterized protein YFL019C,0,1,1,1,1,1,1
NP_001335773.1 uncharacterized protein YFL015C,1,1,1,1,1,1,1
NP_001335774.1 uncharacterized protein YFR054C,1,0,1,1,1,1,1
NP_001335775.1 uncharacterized protein YGL149W,1,1,1,1,1,1,1
NP_001335776.1 uncharacterized protein YGL118C,1,1,1,1,1,1,1
NP_001335777.1 uncharacterized protein YGL088W,1,0,1,1,1,1,1
NP_001335778.1 uncharacterized protein YGL034C,0,0,0,0,1,0,0
NP_001335779.1 Brp1p,1,1,1,0,1,1,1
NP_001335780.1 uncharacterized protein YGR025W,0,0,0,0,0,0,0
NP_001335781.1 uncharacterized protein YGR039W,1,1,1,1,1,1,1
NP_001335782.1 uncharacterized protein YGR045C,1,1,1,1,1,1,1
NP_001335783.1 uncharacterized protein YGR164W,0,0,0,0,0,1,0
NP_001335784.1 uncharacterized protein YIL086C,0,1,0,0,0,1,0
NP_001335785.1 uncharacterized protein YIL012W,1,1,1,1,1,1,1
NP_001335786.1 Mbb1p,0,1,0,0,0,0,0
NP_001335787.1 uncharacterized protein YJL007C,1,0,0,0,1,0,0
NP_001335788.1 uncharacterized protein YJR128W,0,0,0,0,0,0,0
NP_001335789.1 uncharacterized protein YKL102C,1,1,1,1,1,1,1
NP_001335790.1 uncharacterized protein YKL097C,1,1,1,1,1,1,1
NP_001335791.1 uncharacterized protein YKR032W,1,1,1,1,1,1,1
NP_001335792.1 uncharacterized protein YKR073C,1,1,1,1,1,1,1
NP_001335793.1 Rrt7p,1,1,1,1,1,1,1
NP_001335794.1 uncharacterized protein YLR111W,1,1,1,1,1,1,1
NP_001335795.1 uncharacterized protein YLR112W,1,0,1,1,0,1,0
NP_001335796.1 uncharacterized protein YLR122C,1,1,1,1,1,1,1
NP_001335797.1 uncharacterized protein YLR236C,0,1,0,1,1,0,1
NP_001335798.1 uncharacterized protein YLR255C,0,0,1,0,0,1,0
NP_001335799.1 uncharacterized protein YLR296W,1,1,1,0,1,1,1
NP_001335800.1 uncharacterized protein YLR302C,1,0,0,1,1,0,1
NP_001335801.1 Jip3p,1,0,0,0,0,0,0
NP_001335802.1 uncharacterized protein YLR365W,1,0,1,0,1,1,1
NP_001335803.1 uncharacterized protein YML122C,0,1,0,0,1,0,0
NP_001335804.1 uncharacterized protein YMR007W,1,0,1,0,1,1,0
NP_001335805.1 uncharacterized protein YMR082C,1,0,1,0,1,1,1
NP_001335806.1 uncharacterized protein YMR103C,1,0,0,1,1,0,1
NP_001335807.1 uncharacterized protein YMR122C,0,1,0,0,1,0,0
NP_001335808.1 uncharacterized protein YMR141C,1,0,1,0,1,0,0
NP_001335809.1 uncharacterized protein YMR254C,1,1,1,1,1,1,1
NP_001335810.1 uncharacterized protein YMR320W,0,0,0,0,0,1,0
NP_001335811.1 uncharacterized protein YOL160W,1,0,0,1,1,0,1
NP_001335812.1 uncharacterized protein YOL118C,0,0,0,0,0,0,0
NP_001335813.1 uncharacterized protein YOL085C,0,0,1,0,0,0,0
NP_001335814.1 uncharacterized protein YOR015W,1,1,1,1,1,1,1
NP_001335815.1 uncharacterized protein YOR029W,1,1,1,1,1,1,1
NP_001335816.1 uncharacterized protein YOR072W,1,1,1,1,1,1,1
NP_001335817.1 Irc13p,1,1,1,1,1,1,1
NP_001335818.1 uncharacterized protein YOR314W,1,1,1,1,1,0,1
NP_001335819.1 uncharacterized protein YOR343C,1,1,0,0,0,1,1
NP_001335820.1 uncharacterized protein YOR376W,1,1,1,1,1,1,1
NP_001335821.1 uncharacterized protein YPL261C,1,1,1,1,1,1,1
NP_001335822.1 uncharacterized protein YPL080C,1,1,1,1,1,1,1
NP_001335823.1 uncharacterized protein YPL062W,0,0,0,0,0,0,0
NP_001335824.1 uncharacterized protein YPR014C,1,1,1,1,1,1,1
NP_001335825.1 uncharacterized protein YPR053C,1,1,1,1,1,1,1
NP_001335826.1 uncharacterized protein YPR064W,1,1,1,1,1,1,1
NP_001335827.1 uncharacterized protein YPR195C,1,1,1,1,1,1,1
NP_009305.1 cytochrome c oxidase subunit 1 (mitochondrion),1,0,1,1,1,1,1
NP_009306.1 intron-encoded DNA endonuclease aI5 alpha (mitochondrion),1,1,1,1,1,1,1
NP_009307.2 intron-encoded DNA endonuclease aI4 (mitochondrion),1,1,1,1,1,1,1
NP_009308.2 intron-encoded DNA endonuclease aI3 (mitochondrion),1,1,1,1,1,1,1
NP_009309.1 intron-encoded reverse transcriptase aI2 (mitochondrion),1,0,1,1,1,1,1
NP_009310.1 intron-encoded reverse transcriptase aI1 (mitochondrion),1,0,1,1,1,1,1
NP_009311.2 intron-encoded DNA endonuclease aI5 beta (mitochondrion),1,1,1,1,1,1,1
NP_009312.1 F1F0 ATP synthase subunit 8 (mitochondrion),0,1,1,1,1,1,1
NP_009313.1 F1F0 ATP synthase subunit a (mitochondrion),1,1,1,1,1,1,1
NP_009315.1 cytochrome b (mitochondrion),1,0,1,1,1,1,1
NP_009316.1 intron-encoded RNA maturase bI4 (mitochondrion),1,1,1,1,1,1,1
NP_009317.1 cytochrome b mRNA maturase bI3 (mitochondrion),1,1,1,1,1,1,1
NP_009318.1 cytochrome b mRNA maturase bI2 (mitochondrion),1,1,1,1,1,1,0
NP_009319.1 F0 ATP synthase subunit c (mitochondrion),1,1,1,1,1,1,1
NP_009320.1 mitochondrial 37S ribosomal protein VAR1 (mitochondrion),1,1,1,1,1,1,1
NP_009324.1 intron-encoded endonuclease I-SceI (mitochondrion),1,0,0,0,1,1,1
NP_009326.1 cytochrome c oxidase subunit 2 (mitochondrion),1,0,1,1,1,1,1
NP_009327.1 maturase-like protein (mitochondrion),1,1,1,1,1,1,1
NP_009328.1 cytochrome c oxidase subunit 3 (mitochondrion),1,1,1,1,1,1,1
NP_009332.1 seripauperin PAU8,1,1,1,1,1,1,0
NP_009333.1 putative permease SEO1,1,1,1,1,1,1,1
NP_009335.1 uncharacterized protein YAL065C,0,0,0,1,1,1,1
NP_009336.1 uncharacterized protein YAL064W-B,1,1,1,1,1,1,1
NP_009337.2 uncharacterized protein YAL064W,0,1,0,0,0,0,0
NP_009338.1 flocculin FLO9,1,0,1,1,1,1,1
NP_009339.1 glutamate dehydrogenase (NADP(+)) GDH3,1,0,1,1,0,1,0
NP_009340.1 putative dehydrogenase BDH2,0,0,0,0,0,0,0
NP_009341.2 (R)-butanediol dehydrogenase,0,0,0,0,0,0,0
NP_009342.2 Ecm1p,1,1,1,0,0,0,0
NP_009343.1 calnexin,1,0,1,1,1,0,1
NP_009345.3 Gpb2p,0,0,0,1,1,0,0
NP_009346.1 ubiquitin-protein transferase activating protein PEX22,1,0,1,0,1,0,1
NP_009347.1 acetate--CoA ligase 1,1,0,1,1,1,0,1
NP_009348.2 flavin adenine dinucleotide transporter FLC2,1,1,1,1,1,1,1
NP_009349.3 oleate-activated transcription factor OAF1,1,0,1,1,1,1,1
NP_009350.1 protein AIM2,0,0,0,0,0,0,0
NP_009351.1 ERMES complex Ca(2+)-binding regulatory GTPase GEM1,1,1,1,1,1,1,1
NP_009352.2 gamma-tubulin complex subunit SPC72,1,1,0,0,0,1,0
NP_009353.1 Bol3p,1,1,0,0,0,1,0
NP_009355.3 glycine decarboxylase subunit H,1,0,1,0,1,0,0
NP_009356.1 RNA-processing protein PTA1,1,0,1,1,1,1,1
NP_009358.1 Erv46p,1,1,1,1,1,0,1
NP_009359.1 Rho family guanine nucleotide exchange factor CDC24,0,0,0,1,0,0,0
NP_009360.1 cyclin CLN3,1,1,1,1,1,1,1
NP_009361.1 holocytochrome c synthase CYC3,0,0,0,0,0,0,0
NP_009362.1 pyruvate kinase CDC19,0,0,1,0,0,0,0
NP_009363.1 uncharacterized protein YAL037W,1,1,1,1,1,1,1
NP_009364.1 GTP-binding protein RBG1,1,0,1,0,0,1,0
NP_009365.1 translation initiation factor eIF5B,0,0,1,1,0,0,0
NP_009367.1 MIND complex subunit MTW1,1,1,1,0,0,0,0
NP_009368.2 Fun19p,0,0,0,0,0,0,0
NP_009369.1 RNA-binding protein POP5,0,0,0,0,0,0,0
NP_009370.1 mRNA splicing protein PRP45,0,1,0,0,0,0,0
NP_009371.1 protein phosphatase regulator GIP4,1,0,0,1,0,0,0
NP_009372.1 SNAP receptor SNC1,1,0,0,0,1,0,0
NP_009373.1 myosin 4,1,1,1,1,1,0,1
NP_009374.1 Frt2p,1,0,0,0,0,0,0
NP_009375.1 DNA-binding protein SAW1,0,0,0,0,0,0,0
NP_009376.2 aminophospholipid-translocating P4-type ATPase DRS2,1,1,1,1,1,1,1
NP_009377.2 ribosome biosynthesis protein MAK16,0,0,0,0,0,0,0
NP_009378.1 mitotic regulator LTE1,1,0,0,1,1,0,0
NP_009379.2 dolichyl-phosphate-mannose-protein mannosyltransferase PMT2,1,1,1,1,1,1,1
NP_009380.1 nucleoside transmembrane transporter FUN26,1,1,1,1,1,1,1
NP_009381.1 CCR4-NOT core exoribonuclease subunit CCR4,1,0,1,1,1,0,1
NP_009382.2 Ats1p,1,1,1,1,1,1,0
NP_009383.1 DNA-dependent ATPase FUN30,0,0,1,1,0,0,0
NP_009384.1 Lds1p,1,1,1,1,1,1,1
NP_009385.2 serine/threonine protein kinase PSK1,0,0,0,1,0,0,0
NP_009386.1 protein phosphatase 2A structural subunit TPD3,1,0,1,1,1,1,1
NP_009387.1 bifunctional N-glycosylase/AP lyase NTG1,1,1,1,0,1,1,0
NP_009388.2 syntaxin,1,1,1,0,1,1,1
NP_009389.3 Rpd3L histone deacetylase complex subunit DEP1,0,0,0,0,0,0,0
NP_009390.1 cystathionine gamma-lyase CYS3,1,0,0,0,0,0,0
NP_009391.2 Swc3p,0,0,0,0,0,0,0
NP_009392.2 Mdm10p,1,1,1,1,1,1,1
NP_009393.1 Nem1-Spo7 phosphatase regulatory subunit SPO7,1,0,1,0,1,1,1
NP_009394.1 Fun14p,1,1,1,1,1,1,1
NP_009395.1 Erp2p,1,1,1,1,1,1,1
NP_009396.2 Hsp70 family ATPase SSA1,1,0,1,0,1,0,1
NP_009398.1 translation elongation factor 1 subunit beta,0,0,0,0,0,0,0
NP_009399.2 CORVET complex membrane-binding subunit VPS8,1,1,1,1,1,1,1
NP_009400.1 transcription factor TFIIIC subunit TFC3,1,0,1,1,1,0,1
NP_009401.1 FG-nucleoporin NUP60,0,1,1,0,1,1,1
NP_009402.1 Erp1p,1,1,1,0,1,1,1
NP_009403.1 COMPASS subunit protein SWD1,0,0,0,0,0,0,0
NP_009404.1 replication factor A subunit protein RFA1,1,1,1,1,1,1,0
NP_009405.1 tRNA splicing endonuclease subunit SEN34,1,0,0,0,0,0,0
NP_009406.1 truncated gag-pol fusion protein,0,1,0,1,0,0,0
NP_009407.1 gag protein,0,0,0,0,0,0,0
NP_009408.3 protein phosphatase regulator BUD14,0,0,1,0,0,0,0
NP_009409.1 phosphoribosylaminoimidazolesuccinocarboxamide synthase,1,0,0,0,0,0,0
NP_009410.1 serine/threonine protein kinase KIN3,0,0,0,0,0,0,0
NP_009411.2 serine/threonine protein kinase CDC15,1,1,0,1,1,1,1
NP_009412.1 seripauperin PAU7,1,1,0,1,1,0,1
NP_009413.2 DUP240 family protein,1,0,0,1,1,1,1
NP_009414.1 DUP240 family protein UIP3,1,1,1,1,1,1,1
NP_009415.1 DUP240 family protein,1,0,1,1,1,1,1
NP_009416.1 DUP240 family protein,1,0,1,0,0,1,0
NP_009418.1 pheromone-regulated DUP240 family protein PRM9,1,0,1,1,1,0,1
NP_009419.1 DUP240 family protein MST28,1,0,1,1,1,0,0
NP_009420.1 carnitine O-acetyltransferase YAT1,0,1,1,1,1,1,0
NP_009421.3 oxysterol-binding protein related protein SWH1,1,0,0,1,0,0,0
NP_009424.1 flocculin FLO1,1,0,1,1,1,0,1
NP_009429.1 uncharacterized protein YAR064W,1,0,0,0,1,0,1
NP_009430.1 uncharacterized protein YAR066W,1,1,1,1,1,1,1
NP_009431.1 uncharacterized protein YAR068W,1,1,1,1,1,1,1
NP_009434.1 acid phosphatase PHO11,1,1,1,1,1,1,1
NP_009437.1 uncharacterized protein YBL113C,1,1,1,1,1,1,1
NP_009438.1 uncharacterized protein YBL112C,0,0,0,0,0,0,0
NP_009439.1 uncharacterized protein YBL111C,1,0,1,1,1,0,0
NP_009443.1 Mix23p,1,0,1,0,0,0,0
NP_009444.2 putative Rab GTPase-binding protein SRO77,1,1,1,1,1,1,1
NP_009445.2 protein kinase C,1,0,1,1,0,0,0
NP_009446.2 Sea4p,1,1,1,1,1,1,0
NP_009447.1 Rtg3p,0,0,0,0,0,0,0
NP_009448.1 Sft2p,1,1,1,1,1,1,1
NP_009449.1 Ecm21p,0,0,0,1,1,0,0
NP_009450.1 gag-pol fusion protein,0,0,0,1,0,0,0
NP_009451.1 gag protein,0,0,0,0,0,0,0
NP_009453.2 F1F0 ATP synthase subunit alpha,1,1,1,1,1,1,1
NP_009454.1 kynurenine 3-monooxygenase,1,0,0,1,1,0,0
NP_009455.3 condensin subunit BRN1,1,0,1,0,0,0,0
NP_009457.1 Mrx3p,1,0,0,0,1,0,1
NP_009459.1 Rox3p,0,0,1,0,0,0,0
NP_009460.1 ribosomal 60S subunit protein L32,0,0,0,0,0,0,0
NP_009461.2 phospholipid metabolism-regulating protein SCS22,1,0,1,0,1,1,1
NP_009462.2 methionine aminopeptidase,1,0,1,0,0,0,0
NP_009463.1 mitochondrial 37S ribosomal protein MRP21,0,0,0,0,0,0,0
NP_009464.2 amino acid transporter,1,1,1,1,1,1,1
NP_009465.2 DNA-binding protein kinase TEL1,1,1,1,1,1,1,1
NP_009466.1 ribosomal 60S subunit protein L23A,1,1,1,0,1,1,1
NP_009467.1 uncharacterized protein YBL086C,1,1,1,0,1,0,0
NP_009468.1 Boi1p,0,0,0,1,0,0,0
NP_009469.2 anaphase promoting complex subunit CDC27,1,0,1,1,0,1,0
NP_009471.1 dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichol alpha-1-mannosyltransferase,1,1,1,1,1,1,1
NP_009472.1 uncharacterized protein YBL081W,0,0,0,1,0,0,0
NP_009473.2 glutamyl-tRNA(Gln) amidotransferase subunit PET112,1,0,0,0,0,0,0
NP_009474.1 Nup170p,1,1,1,1,1,1,1
NP_009475.1 ubiquitin-like protein ATG8,0,0,0,0,0,0,0
NP_009477.1 isoleucine--tRNA ligase ILS1,1,0,1,1,1,1,1
NP_009478.1 Hsp70 family ATPase SSA3,1,0,1,1,1,1,1
NP_009479.1 U5 snRNP complex subunit AAR2,0,0,0,0,0,0,0
NP_009481.1 ribosomal 40S subunit protein S8A,0,0,0,0,0,0,0
NP_009484.2 Ast1p,1,0,1,0,0,0,0
NP_009485.3 ribose phosphate diphosphokinase subunit PRS4,0,0,0,0,0,0,0
NP_009486.3 ubiquitin-specific protease UBP13,1,0,1,1,1,0,0
NP_009487.2 Sef1p,0,1,0,1,1,1,1
NP_009489.1 thioredoxin peroxidase PRX1,1,1,1,0,1,1,1
NP_009490.1 Kip1p,0,1,0,1,0,0,0
NP_009492.1 Skt5p,1,1,1,1,1,1,1
NP_009493.1 Arf family guanine nucleotide exchange factor YEL1,0,0,0,1,0,0,0
NP_009494.1 Iai11p,1,1,1,0,1,1,1
NP_009495.1 protein phosphatase regulator SHP1,1,0,1,0,0,0,0
NP_009496.2 aminoacyl-tRNA hydrolase,1,0,0,0,0,0,0
NP_009497.2 type 2C protein phosphatase PTC3,1,0,1,0,0,0,0
NP_009498.1 3'-5'-exodeoxyribonuclease,0,0,0,0,0,0,0
NP_009499.1 Tod6p,0,0,0,0,0,0,0
NP_009501.1 histone acetyltransferase,0,1,1,1,0,0,0
NP_009502.1 Pin4p,0,0,1,1,1,0,0
NP_009503.1 Sec17p,1,0,1,0,1,1,1
NP_009504.1 Moh1p,0,0,0,0,0,0,0
NP_009506.1 Ede1p,1,1,1,1,1,0,1
NP_009507.1 Psy4p,0,0,1,0,0,0,0
NP_009508.1 ubiquinol--cytochrome-c reductase subunit COR1,1,0,1,1,1,1,1
NP_009509.1 uncharacterized protein YBL044W,0,0,0,0,0,0,0
NP_009510.1 Ecm13p,0,0,1,0,0,0,0
NP_009511.1 uridine permease,1,1,1,1,1,1,1
NP_009512.1 proteasome core particle subunit beta 6,1,1,1,0,0,1,0
NP_009513.1 Erd2p,1,1,1,1,1,1,1
NP_009514.1 CTP synthase URA7,1,0,0,1,0,0,0
NP_009515.1 mitochondrial 54S ribosomal protein YmL47,1,0,1,0,0,0,0
NP_009516.1 Apl3p,1,1,1,1,1,1,1
NP_009517.1 uncharacterized protein YBL036C,1,1,1,0,0,0,0
NP_009518.1 DNA-directed DNA polymerase alpha subunit POL12,1,1,1,1,1,1,0
NP_009519.1 Stu1p,0,0,0,1,1,0,1
NP_009520.1 GTP cyclohydrolase II,1,0,1,0,0,0,0
NP_009521.1 Hek2p,1,0,0,0,0,0,0
NP_009522.1 She1p,0,0,0,0,0,0,0
NP_009523.1 ADP/ATP carrier protein PET9,1,1,1,1,1,1,1
NP_009524.1 uncharacterized protein YBL029W,0,0,0,0,0,0,0
NP_009525.1 uncharacterized protein YBL028C,0,0,1,0,0,0,0
NP_009526.1 ribosomal 60S subunit protein L19B,0,0,0,0,0,0,0
NP_009527.1 Sm-like protein LSM2,1,0,1,0,0,1,0
NP_009528.1 Rrn10p,1,0,1,0,0,0,0
NP_009529.1 tRNA (cytosine-C5-)-methyltransferase,0,0,0,0,0,0,0
NP_009530.1 MCM DNA helicase complex subunit MCM2,1,1,1,1,0,0,0
NP_009531.1 ATP-dependent Lon protease PIM1,1,0,1,1,0,0,0
NP_009532.1 Hap3p,0,0,0,0,0,0,0
NP_009533.1 glycolipid translocation protein,1,1,1,1,1,1,1
NP_009534.1 DNA-(apurinic or apyrimidinic site) lyase APN2,1,0,1,0,0,1,0
NP_009535.1 ribonuclease P,1,0,1,0,0,1,0
NP_009536.1 type I sorting receptor,1,1,1,1,1,1,1
NP_009537.1 mitogen-activated serine/threonine-protein kinase FUS3,1,0,0,0,0,0,0
NP_009538.1 acetyl-CoA hydrolase,1,0,0,0,0,0,0
NP_009539.2 Rrn6p,1,1,0,1,1,0,1
NP_009540.2 methionyl-tRNA formyltransferase,1,0,1,0,0,0,0
NP_009542.1 bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase SCT1,1,0,1,1,1,1,1
NP_009543.1 Laa2p,0,0,1,0,0,0,0
NP_009544.1 protein kinase ALK2,0,0,0,1,0,1,0
NP_009545.2 Hir1p,1,0,0,1,0,0,0
NP_009546.1 cytoskeletal protein-binding protein SLA1,1,0,1,1,1,1,1
NP_009547.2 Ldb7p,0,0,0,0,0,0,0
NP_009548.1 drug-responsive transcription factor PDR3,1,1,1,1,1,1,1
NP_009549.1 gag-pol fusion protein,1,0,0,1,0,0,0
NP_009550.1 gag protein,0,0,0,0,0,0,0
NP_009551.2 Utp20p,1,1,1,1,1,0,1
NP_009552.1 histone H2A,0,0,0,0,0,0,0
NP_009553.1 histone H2B,0,0,0,0,0,0,0
NP_009554.1 Ecm15p,0,0,0,0,0,0,0
NP_009555.1 alphalpha-trehalase NTH2,1,1,1,1,1,1,1
NP_009556.1 ditransolycis-polyprenyl diphosphate synthase,1,0,0,0,0,0,0
NP_009557.1 trans-hexaprenyltranstransferase,1,0,0,0,0,0,0
NP_009558.2 GPI-anchor transamidase GPI18,1,1,1,1,1,1,1
NP_009559.1 Rcr1p,1,1,1,0,1,1,1
NP_009560.1 succinate-semialdehyde dehydrogenase (NAD(P)(+)),1,0,1,1,1,1,0
NP_009561.2 Dsf2p,0,0,0,1,0,0,0
NP_009562.1 Flr1p,1,1,1,1,1,1,1
NP_009563.1 histone H4,0,0,1,0,0,1,0
NP_009564.1 histone H3,0,0,1,0,0,0,0
NP_009565.1 inorganic diphosphatase IPP1,0,0,0,0,0,0,0
NP_009567.1 gag-pol fusion protein,1,0,0,1,0,0,0
NP_009568.1 gag protein,0,0,0,0,0,0,0
NP_009569.1 uncharacterized protein YBR013C,1,1,0,1,0,1,0
NP_009570.1 glutathione-disulfide reductase GRX7,1,0,1,0,1,1,1
NP_009571.1 alpha-1-mannosyltransferase MNN2,1,0,1,1,1,1,1
NP_009572.1 uncharacterized protein YBR016W,0,0,1,0,0,0,0
NP_009573.1 Kap104p,1,1,1,1,1,1,1
NP_009574.1 UDP-glucose:hexose-1-phosphate uridylyltransferase,0,0,0,0,0,1,0
NP_009575.1 bifunctional UDP-glucose 4-epimerase/aldose 1-epimerase,0,0,1,1,1,0,0
NP_009576.1 galactokinase,1,0,1,1,1,1,0
NP_009577.1 uracil permease,1,1,1,1,1,1,1
NP_009578.1 ADP-ribose 1''-phosphate phosphatase,0,0,0,0,0,0,0
NP_009579.1 chitin synthase CHS3,1,1,1,1,0,1,1
NP_009580.1 putative thioredoxin peroxidase SCO2,1,0,1,0,1,1,1
NP_009581.1 Obg-like ATPase,0,0,0,0,0,0,0
NP_009582.1 enoyl-[acyl-carrier-protein] reductase,1,1,1,1,1,1,1
NP_009584.1 putative protein kinase YPK3,1,1,1,1,0,1,0
